sector,média do previousClouse
Utilities,31.633932035020056
Basic Materials,26.210689528235072
Consumer Cyclical,25.436110989915
Industrials,22.962244842733657
Financial Services,22.732000070148043
Energy,22.48555550310347
Real Estate,18.365263151495082
Consumer Defensive,18.351304297861844
Technology,14.573333581288656
Healthcare,13.713077031649076
Communication Services,11.93714268718447
