country,name,full_name,isin,currency,symbol
brazil,EUCATEX PN,Eucatex SA Industria e Comercio,BREUCAACNPR8,BRL,EUCA4
brazil,EVEN ON,Even Construtora e Incorporadora SA,BREVENACNOR8,BRL,EVEN3
brazil,EZTEC ON,Ez Tec SA,BREZTCACNOR0,BRL,EZTC3
brazil,FERBASA PN,Cia de Ferro Ligas da Bahia Ferbasa,BRFESAACNPR5,BRL,FESA4
brazil,FER HERINGER ON,Fertilizantes Heringer SA,BRFHERACNOR5,BRL,FHER3
brazil,Taurus Armas PN,Taurus Armas PN,BRTASAACNPR4,BRL,TASA4
brazil,FLEURY ON,Fleury SA,BRFLRYACNOR5,BRL,FLRY3
brazil,METALFRIO ON,Metalfrio Solutions SA,BRFRIOACNOR2,BRL,FRIO3
brazil,AES TIETE E ON N2,Aes Tiete Energia SA,BRTIETACNOR0,BRL,TIET3
brazil,AES TIETE E PN N2,Aes Tiete Energia SA,BRTIETACNPR7,BRL,TIET4
brazil,GAFISA ON,Gafisa SA,BRGFSAACNOR3,BRL,GFSA3
brazil,GERDAU ON,Gerdau SA,BRGGBRACNOR1,BRL,GGBR3
brazil,GERDAU PN N1,Gerdau SA Pref,BRGGBRACNPR8,BRL,GGBR4
brazil,GERDAU MET ON,Metalurgica Gerdau SA,BRGOAUACNOR1,BRL,GOAU3
brazil,GERDAU MET PN,Metalurgica Gerdau SA,BRGOAUACNPR8,BRL,GOAU4
brazil,GOL PN N2,Gol Linhas Aereas Inteligentes SA Pref,BRGOLLACNPR4,BRL,GOLL4
brazil,GRENDENE ON,Grendene SA,BRGRNDACNOR3,BRL,GRND3
brazil,GENERALSHOPP ON,General Shopping Brasil SA,BRGSHPACNOR7,BRL,GSHP3
brazil,HELBOR ON,Helbor Empreendimentos SA,BRHBORACNOR3,BRL,HBOR3
brazil,CIA HERING ON,Cia Hering,BRHGTXACNOR9,BRL,HGTX3
brazil,PETRORIO ON NM,Petro Rio SA,BRPRIOACNOR1,BRL,PRIO3
brazil,HYPERMARCAS ON,Hypermarcas SA,BRHYPEACNOR0,BRL,HYPE3
brazil,IDEIASNET ON,IdeiasNet SA,BRIDNTACNOR5,BRL,IDNT3
brazil,INDUSVAL PN,Banco Indusval SA,BRIDVLACNPR2,BRL,IDVL4
brazil,IGUATEMI ON,IGUATEMI ON NM,BRIGTAACNOR5,BRL,IGTA3
brazil,International Meal Company,International Meal Company,BRMEALACNOR9,BRL,MEAL3
brazil,INEPAR ON,Inepar SA Industria e Construcoes,BRINEPACNOR1,BRL,INEP3
brazil,INEPAR PN,Inepar SA Industria e Construcoes,BRINEPACNPR8,BRL,INEP4
brazil,ITAUSA ON,Itausa - Investimentos Itau SA,BRITSAACNOR0,BRL,ITSA3
brazil,ITAUSA PN,Itausa - Investimentos Itau SA,BRITSAACNPR7,BRL,ITSA4
brazil,ITAUUNIBANCO ON,Itau Unibanco Holding SA ON,BRITUBACNOR4,BRL,ITUB3
brazil,ITAUUNIBANCOPN EB N1,Itau Unibanco Banco Holding SA,BRITUBACNPR1,BRL,ITUB4
brazil,JBS ON,JBS SA,BRJBSSACNOR8,BRL,JBSS3
